,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
271,2017,North West,N,   2-4,17,6110,2093
272,2017,North West,N,   5-9,13,1865,1595
273,2017,North West,N,   10-19,14,1055,1534
274,2017,North West,N,   20-49,15,505,1574
275,2017,North West,N,   50-99,16,235,1816
276,2017,North West,N,   100-199,16,115,1282
277,2017,North West,N,   200-249,7,30,1039
278,2017,North West,N,   250-499,22,60,3270
279,2017,North West,N,   500 or more,75,50,6259
280,2017,North West,P,   1,*,85,*
281,2017,North West,P,   2-4,2,875,*
282,2017,North West,P,   5-9,3,410,164
283,2017,North West,P,   10-19,4,270,185
284,2017,North West,P,   20-49,4,145,345
285,2017,North West,P,   50-99,3,50,179
286,2017,North West,P,   100-199,2,15,98
287,2017,North West,P,   200-249,*,5,*
288,2017,North West,P,   250-499,2,5,124
289,2017,North West,P,   500 or more,*,5,*
290,2017,North West,Q,   1,1,525,61
291,2017,North West,Q,   2-4,7,2475,403
292,2017,North West,Q,   5-9,10,1345,534
293,2017,North West,Q,   10-19,23,1535,1201
294,2017,North West,Q,   20-49,32,1020,1672
295,2017,North West,Q,   50-99,19,275,994
296,2017,North West,Q,   100-199,13,95,529
297,2017,North West,Q,   200-249,3,10,184
298,2017,North West,Q,   250-499,7,20,208
299,2017,North West,Q,   500 or more,25,15,779
300,2017,North West,R,   1,*,210,*
301,2017,North West,R,   2-4,3,1105,*
302,2017,North West,R,   5-9,3,370,159
303,2017,North West,R,   10-19,4,260,160
304,2017,North West,R,   20-49,4,140,170
305,2017,North West,R,   50-99,3,45,446
306,2017,North West,R,   100-199,4,25,212
307,2017,North West,R,   200-249,*,5,*
308,2017,North West,R,   250-499,5,15,*
309,2017,North West,R,   500 or more,31,20,11990
310,2017,North West,S,   1,3,1480,*
311,2017,North West,S,   2-4,14,4290,594
312,2017,North West,S,   5-9,9,1380,423
313,2017,North West,S,   10-19,6,445,335
314,2017,North West,S,   20-49,4,135,314
315,2017,North West,S,   50-99,2,30,*
316,2017,North West,S,   100-199,1,10,119
317,2017,North West,S,   200-249,*,5,*
318,2017,North West,S,   250-499,*,0,*
319,2017,North West,S,   500 or more,*,0,*
320,2017,Yorkshire and the Humber,A,   1,4,1590,358
321,2017,Yorkshire and the Humber,A,   2-4,7,1905,721
322,2017,Yorkshire and the Humber,A,   5-9,4,560,588
323,2017,Yorkshire and the Humber,A,   10-19,3,200,319
324,2017,Yorkshire and the Humber,A,   20-49,2,85,294
325,2017,Yorkshire and the Humber,A,   50-99,2,25,163
326,2017,Yorkshire and the Humber,A,   100-199,*,5,*
327,2017,Yorkshire and the Humber,A,   200-249,0,0,0
328,2017,Yorkshire and the Humber,A,   250-499,*,0,*
329,2017,Yorkshire and the Humber,A,   500 or more,*,0,*
330,2017,Yorkshire and the Humber,B,   1,0,20,2
331,2017,Yorkshire and the Humber,B,   2-4,1,245,127
332,2017,Yorkshire and the Humber,B,   5-9,1,135,*
333,2017,Yorkshire and the Humber,B,   10-19,1,75,165
334,2017,Yorkshire and the Humber,B,   20-49,2,75,536
335,2017,Yorkshire and the Humber,B,   50-99,2,25,472
336,2017,Yorkshire and the Humber,B,   100-199,*,5,*
337,2017,Yorkshire and the Humber,B,   200-249,1,5,314
338,2017,Yorkshire and the Humber,B,   250-499,2,10,1509
339,2017,Yorkshire and the Humber,B,   500 or more,*,5,*
340,2017,Yorkshire and the Humber,C,   1,1,565,71
341,2017,Yorkshire and the Humber,C,   2-4,9,3045,792
342,2017,Yorkshire and the Humber,C,   5-9,12,1750,1152
343,2017,Yorkshire and the Humber,C,   10-19,18,1310,1758
344,2017,Yorkshire and the Humber,C,   20-49,30,985,3643
345,2017,Yorkshire and the Humber,C,   50-99,31,455,4484
346,2017,Yorkshire and the Humber,C,   100-199,32,230,4938
347,2017,Yorkshire and the Humber,C,   200-249,11,50,1594
348,2017,Yorkshire and the Humber,C,   250-499,24,70,4525
349,2017,Yorkshire and the Humber,C,   500 or more,101,70,20431
350,2017,Yorkshire and the Humber,F,   1,4,1730,298
351,2017,Yorkshire and the Humber,F,   2-4,19,7085,2662
352,2017,Yorkshire and the Humber,F,   5-9,13,1910,1696
353,2017,Yorkshire and the Humber,F,   10-19,13,955,1954
354,2017,Yorkshire and the Humber,F,   20-49,13,425,2074
355,2017,Yorkshire and the Humber,F,   50-99,8,120,1414
356,2017,Yorkshire and the Humber,F,   100-199,5,35,869
357,2017,Yorkshire and the Humber,F,   200-249,1,5,228
