,Region,Year,Table A.1a  Total identifiable expenditure on services,"Table A.1b  Total UK identifiable expenditure on services, per head ",Table A.2a  Real terms (1): Total identifiable expenditure on services,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.3a  Total current and capital identifiable expenditure,"Table A.3b  Total current and capital UK identifiable expenditure, per head",Table A.4a  Real terms (1): Total current and capital identifiable expenditure,"Table A.4b  Real terms (1): Total current and capital UK identifiable expenditure, per head (2)",Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1),Table A.20  UK identifiable expenditure excluding local government (1) per head (2),"Table A.21  Identifiable expenditure on services for Scotland, Wales and Northern Ireland in 2022-23"
52,Scotland,2020,80773,14777.0,85478.0,15638.0,80773.0,14777.0,85478.0,15638.0,1500.0,1494.0,5.0,-,6,3101.0,17544.0,11186.0,604.0,193.0,915.0,4645.0,1441.0,2118.0,18114.0,1221.0,10066.0,25662.0,,,15583.0,2851.0,65190.0,11926.0,
53,Scotland,2021,75824,13837.0,80886.0,14760.0,75824.0,13837.0,80886.0,14760.0,1739.0,1728.0,10.0,-,3,3330.0,10356.0,3907.0,603.0,323.0,832.0,4691.0,1464.0,2462.0,19035.0,1239.0,10295.0,25902.0,,,16534.0,3017.0,59290.0,10820.0,
54,Scotland,2022,78589,14456.0,78589.0,14456.0,78589.0,14456.0,78589.0,14456.0,1946.0,1940.0,6.0,-,4,3566.0,12114.0,5684.0,537.0,280.0,849.0,4765.0,1501.0,2772.0,16885.0,1169.0,10049.0,28583.0,,,17371.0,3195.0,61218.0,11260.0,
55,Wales,2018,33339,10811.0,38081.0,12348.0,33339.0,10811.0,38081.0,12348.0,539.0,537.0,3.0,-,2,1423.0,2690.0,644.0,156.0,128.0,519.0,1243.0,616.0,824.0,7537.0,522.0,4285.0,14901.0,,,8564.0,2777.0,24775.0,8034.0,
56,Wales,2019,34328,11118.0,38306.0,12406.0,34328.0,11118.0,38306.0,12406.0,578.0,575.0,3.0,-,3,1532.0,2714.0,678.0,148.0,102.0,480.0,1305.0,650.0,969.0,8025.0,529.0,4386.0,14942.0,,,8786.0,2846.0,25542.0,8272.0,
57,Wales,2020,44897,14462.0,47512.0,15304.0,44897.0,14462.0,47512.0,15304.0,631.0,628.0,2.0,-,3,1695.0,8874.0,6340.0,222.0,114.0,520.0,1678.0,686.0,857.0,10215.0,656.0,4986.0,16293.0,,,9685.0,3120.0,35211.0,11342.0,
58,Wales,2021,41403,13331.0,44166.0,14221.0,41403.0,13331.0,44166.0,14221.0,941.0,938.0,3.0,-,3,1750.0,3881.0,1436.0,249.0,188.0,526.0,1483.0,749.0,1057.0,10697.0,630.0,5219.0,16474.0,,,10177.0,3277.0,31225.0,10054.0,
59,Wales,2022,43739,13967.0,43739.0,13967.0,43739.0,13967.0,43739.0,13967.0,633.0,630.0,3.0,-,6,1892.0,5360.0,2840.0,226.0,170.0,551.0,1574.0,753.0,1199.0,10449.0,609.0,5236.0,17601.0,,,10762.0,3437.0,32977.0,10530.0,
60,Northern Ireland,2018,21787,11550.0,24885.0,13193.0,21787.0,11550.0,24885.0,13193.0,396.0,394.0,2.0,-,-,1246.0,1739.0,358.0,68.0,99.0,548.0,665.0,255.0,852.0,4582.0,499.0,2777.0,9441.0,,,,,,,
61,Northern Ireland,2019,22748,11982.0,25384.0,13371.0,22748.0,11982.0,25384.0,13371.0,431.0,430.0,2.0,-,-,1295.0,2088.0,704.0,84.0,87.0,553.0,661.0,297.0,844.0,4941.0,499.0,2889.0,9463.0,,,,,,,
62,Northern Ireland,2020,28990,15254.0,30679.0,16142.0,28990.0,15254.0,30679.0,16142.0,807.0,806.0,2.0,-,-,1335.0,5162.0,3442.0,99.0,76.0,602.0,942.0,318.0,1030.0,6605.0,488.0,3335.0,9909.0,,,,,,,
63,Northern Ireland,2021,26732,14036.0,28517.0,14972.0,26732.0,14036.0,28517.0,14972.0,602.0,601.0,2.0,-,-,1397.0,2977.0,1177.0,118.0,103.0,666.0,913.0,325.0,1059.0,6523.0,466.0,3350.0,10033.0,,,,,,,
64,Northern Ireland,2022,27612,14453.0,27612.0,14453.0,27612.0,14453.0,27612.0,14453.0,524.0,523.0,2.0,-,-,1419.0,3427.0,1692.0,187.0,105.0,638.0,804.0,318.0,1183.0,6181.0,476.0,3427.0,10658.0,,,,,,,
65,UK identifiable expenditure,2018,636656,9598.0,727199.0,10963.0,636656.0,9598.0,727199.0,10963.0,7327.0,7264.0,63.0,-,41,30593.0,58642.0,12589.0,5594.0,2679.0,5650.0,32130.0,10772.0,12149.0,152193.0,7452.0,88051.0,269437.0,,,,,,,
66,UK identifiable expenditure,2019,663276,9947.0,740131.0,11100.0,663276.0,9947.0,740131.0,11100.0,8551.0,8487.0,63.0,-,54,32564.0,64199.0,16807.0,5938.0,2237.0,5719.0,33498.0,11485.0,14212.0,163350.0,7773.0,90622.0,270466.0,,,,,,,
67,UK identifiable expenditure,2020,892609,13363.0,944599.0,14141.0,892609.0,13363.0,944599.0,14141.0,10894.0,10840.0,54.0,-,143,35253.0,203666.0,139388.0,6571.0,2603.0,6223.0,48881.0,12416.0,13687.0,217867.0,9470.0,95526.0,293687.0,,,,,,,
68,UK identifiable expenditure,2021,794900,11856.0,847965.0,12648.0,794900.0,11856.0,847965.0,12648.0,11022.0,10954.0,68.0,-,125,36789.0,99367.0,38516.0,6561.0,4205.0,5926.0,44160.0,13393.0,15219.0,215474.0,9140.0,100129.0,294243.0,,,,,,,
69,UK identifiable expenditure,2022,848155,12549.0,848155.0,12549.0,848155.0,12549.0,848155.0,12549.0,10228.0,10170.0,58.0,-,100,39348.0,123963.0,62831.0,6870.0,3802.0,6646.0,43815.0,13440.0,17466.0,208502.0,9230.0,106835.0,319044.0,,,,,,,
70,Outside UK,2018,29988,,34253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29988.0,,
71,Outside UK,2019,28269,,31545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28269.0,,
72,Outside UK,2020,27279,,28868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27279.0,,
73,Outside UK,2021,22118,,23594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22118.0,,
