,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
336,2013,Yorkshire and the Humber,B,   100-199,*,5,*
337,2013,Yorkshire and the Humber,B,   200-249,*,0,*
338,2013,Yorkshire and the Humber,B,   250-499,*,5,*
339,2013,Yorkshire and the Humber,B,   500 or more,*,5,*
340,2013,Yorkshire and the Humber,C,   1,1,585,70
341,2013,Yorkshire and the Humber,C,   2-4,9,2915,733
342,2013,Yorkshire and the Humber,C,   5-9,12,1740,993
343,2013,Yorkshire and the Humber,C,   10-19,18,1320,1605
344,2013,Yorkshire and the Humber,C,   20-49,30,965,3744
345,2013,Yorkshire and the Humber,C,   50-99,30,430,4317
346,2013,Yorkshire and the Humber,C,   100-199,29,210,4385
347,2013,Yorkshire and the Humber,C,   200-249,11,50,1736
348,2013,Yorkshire and the Humber,C,   250-499,24,70,4978
349,2013,Yorkshire and the Humber,C,   500 or more,71,60,14466
350,2013,Yorkshire and the Humber,F,   1,4,1915,*
351,2013,Yorkshire and the Humber,F,   2-4,17,6040,1781
352,2013,Yorkshire and the Humber,F,   5-9,12,1830,1292
353,2013,Yorkshire and the Humber,F,   10-19,12,920,1402
354,2013,Yorkshire and the Humber,F,   20-49,12,400,2414
355,2013,Yorkshire and the Humber,F,   50-99,7,105,1199
356,2013,Yorkshire and the Humber,F,   100-199,4,25,540
357,2013,Yorkshire and the Humber,F,   200-249,*,10,*
358,2013,Yorkshire and the Humber,F,   250-499,*,20,1057
359,2013,Yorkshire and the Humber,F,   500 or more,19,15,4778
360,2013,Yorkshire and the Humber,G,   1,7,2900,637
361,2013,Yorkshire and the Humber,G,   2-4,30,9015,3809
362,2013,Yorkshire and the Humber,G,   5-9,29,4265,4383
363,2013,Yorkshire and the Humber,G,   10-19,26,1940,5031
364,2013,Yorkshire and the Humber,G,   20-49,26,895,6371
365,2013,Yorkshire and the Humber,G,   50-99,20,285,4999
366,2013,Yorkshire and the Humber,G,   100-199,15,110,4303
367,2013,Yorkshire and the Humber,G,   200-249,4,20,1084
368,2013,Yorkshire and the Humber,G,   250-499,9,25,4013
369,2013,Yorkshire and the Humber,G,   500 or more,425,50,53126
370,2013,Yorkshire and the Humber,H,   1,1,485,*
371,2013,Yorkshire and the Humber,H,   2-4,4,1190,351
372,2013,Yorkshire and the Humber,H,   5-9,4,565,357
373,2013,Yorkshire and the Humber,H,   10-19,5,370,562
374,2013,Yorkshire and the Humber,H,   20-49,8,260,859
375,2013,Yorkshire and the Humber,H,   50-99,5,70,874
376,2013,Yorkshire and the Humber,H,   100-199,5,35,782
377,2013,Yorkshire and the Humber,H,   200-249,3,10,141
378,2013,Yorkshire and the Humber,H,   250-499,4,15,391
379,2013,Yorkshire and the Humber,H,   500 or more,24,15,*
