,Region,Year,Other taxes on products
673,Wandsworth,2018,269
674,Wandsworth,2019,273
675,Wandsworth,2020,239
676,Wandsworth,2021,293
677,Wandsworth,2022,355
678,Inner London - East,2017,2939
679,Inner London - East,2018,3081
680,Inner London - East,2019,3110
681,Inner London - East,2020,2603
682,Inner London - East,2021,2998
683,Inner London - East,2022,3361
684,Hackney and Newham,2017,504
685,Hackney and Newham,2018,537
686,Hackney and Newham,2019,610
687,Hackney and Newham,2020,533
688,Hackney and Newham,2021,616
689,Hackney and Newham,2022,700
690,Tower Hamlets,2017,982
691,Tower Hamlets,2018,975
692,Tower Hamlets,2019,862
693,Tower Hamlets,2020,742
694,Tower Hamlets,2021,736
695,Tower Hamlets,2022,800
696,Haringey and Islington,2017,557
697,Haringey and Islington,2018,618
698,Haringey and Islington,2019,627
699,Haringey and Islington,2020,507
700,Haringey and Islington,2021,616
701,Haringey and Islington,2022,711
702,Lewisham and Southwark,2017,605
703,Lewisham and Southwark,2018,637
704,Lewisham and Southwark,2019,667
705,Lewisham and Southwark,2020,549
706,Lewisham and Southwark,2021,713
707,Lewisham and Southwark,2022,757
708,Lambeth,2017,291
709,Lambeth,2018,314
710,Lambeth,2019,344
711,Lambeth,2020,272
712,Lambeth,2021,318
713,Lambeth,2022,393
714,Outer London - East and North East,2017,2136
715,Outer London - East and North East,2018,2133
716,Outer London - East and North East,2019,2227
717,Outer London - East and North East,2020,2012
718,Outer London - East and North East,2021,2428
719,Outer London - East and North East,2022,2609
720,Bexley and Greenwich,2017,643
721,Bexley and Greenwich,2018,607
722,Bexley and Greenwich,2019,613
723,Bexley and Greenwich,2020,528
724,Bexley and Greenwich,2021,624
725,Bexley and Greenwich,2022,698
726,Barking & Dagenham and Havering,2017,534
727,Barking & Dagenham and Havering,2018,512
728,Barking & Dagenham and Havering,2019,541
729,Barking & Dagenham and Havering,2020,520
730,Barking & Dagenham and Havering,2021,648
731,Barking & Dagenham and Havering,2022,754
