,Region,Year,Value Added Tax (VAT) on products
427,"Herefordshire, County of",2018,426
428,"Herefordshire, County of",2019,448
429,"Herefordshire, County of",2020,408
430,"Herefordshire, County of",2021,476
431,"Herefordshire, County of",2022,551
432,Worcestershire CC,2017,1360
433,Worcestershire CC,2018,1360
434,Worcestershire CC,2019,1437
435,Worcestershire CC,2020,1317
436,Worcestershire CC,2021,1536
437,Worcestershire CC,2022,1780
438,Warwickshire CC,2017,1315
439,Warwickshire CC,2018,1322
440,Warwickshire CC,2019,1403
441,Warwickshire CC,2020,1294
442,Warwickshire CC,2021,1522
443,Warwickshire CC,2022,1775
444,Shropshire and Staffordshire,2017,3327
445,Shropshire and Staffordshire,2018,3312
446,Shropshire and Staffordshire,2019,3504
447,Shropshire and Staffordshire,2020,3217
448,Shropshire and Staffordshire,2021,3766
449,Shropshire and Staffordshire,2022,4377
450,Telford and Wrekin,2017,366
451,Telford and Wrekin,2018,367
452,Telford and Wrekin,2019,391
453,Telford and Wrekin,2020,361
454,Telford and Wrekin,2021,425
455,Telford and Wrekin,2022,497
456,Shropshire CC,2017,650
457,Shropshire CC,2018,647
458,Shropshire CC,2019,687
459,Shropshire CC,2020,632
460,Shropshire CC,2021,743
461,Shropshire CC,2022,861
462,Stoke-on-Trent,2017,532
463,Stoke-on-Trent,2018,529
464,Stoke-on-Trent,2019,557
465,Stoke-on-Trent,2020,509
466,Stoke-on-Trent,2021,590
467,Stoke-on-Trent,2022,684
468,Staffordshire CC,2017,1779
469,Staffordshire CC,2018,1770
470,Staffordshire CC,2019,1869
471,Staffordshire CC,2020,1715
472,Staffordshire CC,2021,2008
473,Staffordshire CC,2022,2334
474,West Midlands,2017,4635
475,West Midlands,2018,4974
476,West Midlands,2019,5261
477,West Midlands,2020,4831
478,West Midlands,2021,5655
479,West Midlands,2022,6572
480,Birmingham,2017,1829
481,Birmingham,2018,1961
482,Birmingham,2019,2073
483,Birmingham,2020,1899
484,Birmingham,2021,2216
485,Birmingham,2022,2576
486,Solihull,2017,344
487,Solihull,2018,368
488,Solihull,2019,390
489,Solihull,2020,358
490,Solihull,2021,420
491,Solihull,2022,484
492,Coventry,2017,545
493,Coventry,2018,587
494,Coventry,2019,619
495,Coventry,2020,570
496,Coventry,2021,667
497,Coventry,2022,791
498,Dudley,2017,513
499,Dudley,2018,549
500,Dudley,2019,580
501,Dudley,2020,533
502,Dudley,2021,627
503,Dudley,2022,723
504,Sandwell,2017,536
505,Sandwell,2018,577
506,Sandwell,2019,613
507,Sandwell,2020,565
508,Sandwell,2021,663
509,Sandwell,2022,766
510,Walsall,2017,451
511,Walsall,2018,484
512,Walsall,2019,513
513,Walsall,2020,471
514,Walsall,2021,551
515,Walsall,2022,637
516,Wolverhampton,2017,418
517,Wolverhampton,2018,449
518,Wolverhampton,2019,475
519,Wolverhampton,2020,435
520,Wolverhampton,2021,512
521,Wolverhampton,2022,596
522,East,2017,13146
523,East,2018,13391
524,East,2019,14067
525,East,2020,12612
526,East,2021,14273
527,East,2022,16853
528,East Anglia,2017,5121
529,East Anglia,2018,5237
530,East Anglia,2019,5501
531,East Anglia,2020,4932
532,East Anglia,2021,5582
533,East Anglia,2022,6590
534,Peterborough,2017,423
535,Peterborough,2018,436
536,Peterborough,2019,460
537,Peterborough,2020,413
538,Peterborough,2021,468
539,Peterborough,2022,552
540,Cambridgeshire CC,2017,1343
541,Cambridgeshire CC,2018,1375
542,Cambridgeshire CC,2019,1445
543,Cambridgeshire CC,2020,1297
544,Cambridgeshire CC,2021,1473
545,Cambridgeshire CC,2022,1746
546,Suffolk CC,2017,1530
547,Suffolk CC,2018,1560
548,Suffolk CC,2019,1636
549,Suffolk CC,2020,1463
550,Suffolk CC,2021,1652
551,Suffolk CC,2022,1948
552,Norwich and East Norfolk,2017,751
553,Norwich and East Norfolk,2018,770
554,Norwich and East Norfolk,2019,807
555,Norwich and East Norfolk,2020,724
556,Norwich and East Norfolk,2021,813
557,Norwich and East Norfolk,2022,959
558,North and West Norfolk,2017,521
559,North and West Norfolk,2018,529
560,North and West Norfolk,2019,553
561,North and West Norfolk,2020,493
562,North and West Norfolk,2021,559
563,North and West Norfolk,2022,656
564,Breckland and South Norfolk,2017,553
565,Breckland and South Norfolk,2018,567
566,Breckland and South Norfolk,2019,600
567,Breckland and South Norfolk,2020,542
568,Breckland and South Norfolk,2021,616
569,Breckland and South Norfolk,2022,730
570,Bedfordshire and Hertfordshire,2017,4172
571,Bedfordshire and Hertfordshire,2018,4343
572,Bedfordshire and Hertfordshire,2019,4563
573,Bedfordshire and Hertfordshire,2020,4091
574,Bedfordshire and Hertfordshire,2021,4629
575,Bedfordshire and Hertfordshire,2022,5466
576,Luton,2017,495
577,Luton,2018,515
578,Luton,2019,541
579,Luton,2020,484
580,Luton,2021,546
581,Luton,2022,646
582,Hertfordshire CC,2017,2659
583,Hertfordshire CC,2018,2762
584,Hertfordshire CC,2019,2893
585,Hertfordshire CC,2020,2588
586,Hertfordshire CC,2021,2915
587,Hertfordshire CC,2022,3429
588,Bedford,2017,394
589,Bedford,2018,414
590,Bedford,2019,438
591,Bedford,2020,394
592,Bedford,2021,451
593,Bedford,2022,534
594,Central Bedfordshire,2017,623
595,Central Bedfordshire,2018,652
596,Central Bedfordshire,2019,690
597,Central Bedfordshire,2020,625
598,Central Bedfordshire,2021,718
599,Central Bedfordshire,2022,858
600,Essex,2017,3853
601,Essex,2018,3811
602,Essex,2019,4003
603,Essex,2020,3589
604,Essex,2021,4062
605,Essex,2022,4796
606,Southend-on-Sea,2017,384
607,Southend-on-Sea,2018,378
608,Southend-on-Sea,2019,395
609,Southend-on-Sea,2020,351
610,Southend-on-Sea,2021,394
611,Southend-on-Sea,2022,462
612,Thurrock,2017,362
613,Thurrock,2018,360
614,Thurrock,2019,379
615,Thurrock,2020,341
616,Thurrock,2021,384
617,Thurrock,2022,452
618,Essex Haven Gateway,2017,1023
619,Essex Haven Gateway,2018,1011
620,Essex Haven Gateway,2019,1062
621,Essex Haven Gateway,2020,954
622,Essex Haven Gateway,2021,1084
623,Essex Haven Gateway,2022,1286
624,West Essex,2017,653
625,West Essex,2018,648
626,West Essex,2019,684
627,West Essex,2020,615
628,West Essex,2021,698
629,West Essex,2022,823
630,Heart of Essex,2017,672
631,Heart of Essex,2018,663
632,Heart of Essex,2019,697
633,Heart of Essex,2020,626
634,Heart of Essex,2021,710
635,Heart of Essex,2022,839
636,Essex Thames Gateway,2017,760
637,Essex Thames Gateway,2018,751
638,Essex Thames Gateway,2019,786
639,Essex Thames Gateway,2020,703
640,Essex Thames Gateway,2021,793
641,Essex Thames Gateway,2022,935
642,London,2017,22414
643,London,2018,23413
644,London,2019,24092
645,London,2020,22361
646,London,2021,24963
647,London,2022,28534
648,Inner London - West,2017,3421
649,Inner London - West,2018,3571
650,Inner London - West,2019,3675
651,Inner London - West,2020,3411
652,Inner London - West,2021,3807
653,Inner London - West,2022,4352
654,Camden and City of London,2017,702
655,Camden and City of London,2018,731
656,Camden and City of London,2019,752
657,Camden and City of London,2020,696
658,Camden and City of London,2021,773
659,Camden and City of London,2022,905
660,Westminster,2017,652
661,Westminster,2018,679
662,Westminster,2019,694
663,Westminster,2020,641
664,Westminster,2021,724
665,Westminster,2022,836
666,Kensington & Chelsea and Hammersmith & Fulham,2017,1045
667,Kensington & Chelsea and Hammersmith & Fulham,2018,1091
668,Kensington & Chelsea and Hammersmith & Fulham,2019,1116
669,Kensington & Chelsea and Hammersmith & Fulham,2020,1033
670,Kensington & Chelsea and Hammersmith & Fulham,2021,1153
671,Kensington & Chelsea and Hammersmith & Fulham,2022,1310
672,Wandsworth,2017,1021
673,Wandsworth,2018,1070
674,Wandsworth,2019,1113
675,Wandsworth,2020,1040
676,Wandsworth,2021,1156
677,Wandsworth,2022,1301
678,Inner London - East,2017,5071
679,Inner London - East,2018,5483
680,Inner London - East,2019,5642
681,Inner London - East,2020,5236
682,Inner London - East,2021,5845
683,Inner London - East,2022,6681
684,Hackney and Newham,2017,1314
685,Hackney and Newham,2018,1426
686,Hackney and Newham,2019,1469
687,Hackney and Newham,2020,1366
688,Hackney and Newham,2021,1534
689,Hackney and Newham,2022,1759
690,Tower Hamlets,2017,639
691,Tower Hamlets,2018,700
692,Tower Hamlets,2019,728
693,Tower Hamlets,2020,683
694,Tower Hamlets,2021,785
695,Tower Hamlets,2022,924
696,Haringey and Islington,2017,1080
697,Haringey and Islington,2018,1157
698,Haringey and Islington,2019,1183
699,Haringey and Islington,2020,1092
700,Haringey and Islington,2021,1208
701,Haringey and Islington,2022,1368
702,Lewisham and Southwark,2017,1325
703,Lewisham and Southwark,2018,1432
704,Lewisham and Southwark,2019,1476
705,Lewisham and Southwark,2020,1371
706,Lewisham and Southwark,2021,1522
707,Lewisham and Southwark,2022,1732
708,Lambeth,2017,713
709,Lambeth,2018,768
710,Lambeth,2019,786
711,Lambeth,2020,724
712,Lambeth,2021,797
713,Lambeth,2022,899
714,Outer London - East and North East,2017,4490
715,Outer London - East and North East,2018,4662
716,Outer London - East and North East,2019,4797
