,Region,Year,Gross value added (Balanced) at current basic prices
542,Cambridgeshire CC,2019,20760
543,Cambridgeshire CC,2020,20931
544,Cambridgeshire CC,2021,22054
545,Cambridgeshire CC,2022,23844
546,Suffolk CC,2017,18105
547,Suffolk CC,2018,18402
548,Suffolk CC,2019,19445
549,Suffolk CC,2020,18347
550,Suffolk CC,2021,19465
551,Suffolk CC,2022,20811
552,Norwich and East Norfolk,2017,8997
553,Norwich and East Norfolk,2018,8736
554,Norwich and East Norfolk,2019,9943
555,Norwich and East Norfolk,2020,9236
556,Norwich and East Norfolk,2021,10042
557,Norwich and East Norfolk,2022,11093
558,North and West Norfolk,2017,4473
559,North and West Norfolk,2018,4508
560,North and West Norfolk,2019,4652
561,North and West Norfolk,2020,4511
562,North and West Norfolk,2021,4798
563,North and West Norfolk,2022,5179
564,Breckland and South Norfolk,2017,4895
565,Breckland and South Norfolk,2018,4908
566,Breckland and South Norfolk,2019,5265
567,Breckland and South Norfolk,2020,5293
568,Breckland and South Norfolk,2021,5706
569,Breckland and South Norfolk,2022,6087
570,Bedfordshire and Hertfordshire,2017,54434
571,Bedfordshire and Hertfordshire,2018,55595
572,Bedfordshire and Hertfordshire,2019,57802
573,Bedfordshire and Hertfordshire,2020,54114
574,Bedfordshire and Hertfordshire,2021,58784
575,Bedfordshire and Hertfordshire,2022,64283
576,Luton,2017,5833
577,Luton,2018,5908
578,Luton,2019,6134
579,Luton,2020,5239
580,Luton,2021,5530
581,Luton,2022,6649
582,Hertfordshire CC,2017,38619
583,Hertfordshire CC,2018,39590
584,Hertfordshire CC,2019,41352
585,Hertfordshire CC,2020,39505
586,Hertfordshire CC,2021,42875
587,Hertfordshire CC,2022,46435
588,Bedford,2017,3981
589,Bedford,2018,4023
590,Bedford,2019,4298
591,Bedford,2020,3920
592,Bedford,2021,4415
593,Bedford,2022,4763
594,Central Bedfordshire,2017,6000
595,Central Bedfordshire,2018,6074
596,Central Bedfordshire,2019,6018
597,Central Bedfordshire,2020,5450
598,Central Bedfordshire,2021,5964
599,Central Bedfordshire,2022,6436
600,Essex,2017,42062
601,Essex,2018,43452
602,Essex,2019,44402
603,Essex,2020,40792
604,Essex,2021,45694
605,Essex,2022,50817
606,Southend-on-Sea,2017,3044
607,Southend-on-Sea,2018,3151
608,Southend-on-Sea,2019,3080
609,Southend-on-Sea,2020,2714
610,Southend-on-Sea,2021,3052
611,Southend-on-Sea,2022,3321
612,Thurrock,2017,4031
613,Thurrock,2018,4239
614,Thurrock,2019,4354
615,Thurrock,2020,4100
616,Thurrock,2021,4703
617,Thurrock,2022,5616
618,Essex Haven Gateway,2017,9979
619,Essex Haven Gateway,2018,10141
620,Essex Haven Gateway,2019,10229
621,Essex Haven Gateway,2020,9316
622,Essex Haven Gateway,2021,10516
623,Essex Haven Gateway,2022,11492
624,West Essex,2017,8366
625,West Essex,2018,8634
626,West Essex,2019,8628
627,West Essex,2020,7662
628,West Essex,2021,8557
629,West Essex,2022,9404
630,Heart of Essex,2017,8981
631,Heart of Essex,2018,9341
632,Heart of Essex,2019,9721
633,Heart of Essex,2020,8902
634,Heart of Essex,2021,9918
635,Heart of Essex,2022,10865
636,Essex Thames Gateway,2017,7661
637,Essex Thames Gateway,2018,7947
638,Essex Thames Gateway,2019,8390
639,Essex Thames Gateway,2020,8099
640,Essex Thames Gateway,2021,8948
641,Essex Thames Gateway,2022,10119
642,London,2017,441384
643,London,2018,458081
644,London,2019,473666
645,London,2020,437281
646,London,2021,469594
647,London,2022,519178
