,Region,Year,Gross domestic product (GDP) at current market prices
494,Coventry,2019,11144
495,Coventry,2020,10258
496,Coventry,2021,10868
497,Coventry,2022,11776
498,Dudley,2017,5862
499,Dudley,2018,5959
500,Dudley,2019,6113
501,Dudley,2020,5690
502,Dudley,2021,6325
503,Dudley,2022,6871
504,Sandwell,2017,7153
505,Sandwell,2018,7425
506,Sandwell,2019,7289
507,Sandwell,2020,7050
508,Sandwell,2021,7357
509,Sandwell,2022,7811
510,Walsall,2017,5404
511,Walsall,2018,5420
512,Walsall,2019,5407
513,Walsall,2020,4969
514,Walsall,2021,5517
515,Walsall,2022,5912
516,Wolverhampton,2017,5479
517,Wolverhampton,2018,5782
518,Wolverhampton,2019,5942
519,Wolverhampton,2020,5536
520,Wolverhampton,2021,6187
521,Wolverhampton,2022,6851
522,East,2017,179799
523,East,2018,183484
524,East,2019,191077
525,East,2020,178899
526,East,2021,195595
527,East,2022,213828
528,East Anglia,2017,70107
529,East Anglia,2018,71124
530,East Anglia,2019,75102
531,East Anglia,2020,72124
532,East Anglia,2021,77483
533,East Anglia,2022,83644
534,Peterborough,2017,6986
535,Peterborough,2018,7477
536,Peterborough,2019,7180
537,Peterborough,2020,6982
538,Peterborough,2021,7595
539,Peterborough,2022,8004
540,Cambridgeshire CC,2017,21338
541,Cambridgeshire CC,2018,21675
542,Cambridgeshire CC,2019,23061
543,Cambridgeshire CC,2020,22943
544,Cambridgeshire CC,2021,24413
545,Cambridgeshire CC,2022,26456
546,Suffolk CC,2017,20554
547,Suffolk CC,2018,20900
548,Suffolk CC,2019,22033
549,Suffolk CC,2020,20637
550,Suffolk CC,2021,22040
551,Suffolk CC,2022,23602
552,Norwich and East Norfolk,2017,10170
553,Norwich and East Norfolk,2018,9938
554,Norwich and East Norfolk,2019,11130
555,Norwich and East Norfolk,2020,10245
556,Norwich and East Norfolk,2021,11205
557,Norwich and East Norfolk,2022,12415
558,North and West Norfolk,2017,5276
559,North and West Norfolk,2018,5322
560,North and West Norfolk,2019,5493
561,North and West Norfolk,2020,5221
562,North and West Norfolk,2021,5606
563,North and West Norfolk,2022,6065
564,Breckland and South Norfolk,2017,5783
565,Breckland and South Norfolk,2018,5814
566,Breckland and South Norfolk,2019,6206
567,Breckland and South Norfolk,2020,6095
568,Breckland and South Norfolk,2021,6623
569,Breckland and South Norfolk,2022,7103
570,Bedfordshire and Hertfordshire,2017,61340
571,Bedfordshire and Hertfordshire,2018,62634
572,Bedfordshire and Hertfordshire,2019,65106
573,Bedfordshire and Hertfordshire,2020,60372
574,Bedfordshire and Hertfordshire,2021,65936
575,Bedfordshire and Hertfordshire,2022,72254
576,Luton,2017,6668
577,Luton,2018,6762
578,Luton,2019,7039
579,Luton,2020,5927
580,Luton,2021,6297
581,Luton,2022,7632
582,Hertfordshire CC,2017,43083
583,Hertfordshire CC,2018,44116
584,Hertfordshire CC,2019,46025
585,Hertfordshire CC,2020,43564
586,Hertfordshire CC,2021,47524
587,Hertfordshire CC,2022,51501
588,Bedford,2017,4602
589,Bedford,2018,4668
590,Bedford,2019,4968
591,Bedford,2020,4510
592,Bedford,2021,5083
593,Bedford,2022,5510
594,Central Bedfordshire,2017,6986
595,Central Bedfordshire,2018,7088
596,Central Bedfordshire,2019,7074
597,Central Bedfordshire,2020,6371
598,Central Bedfordshire,2021,7032
599,Central Bedfordshire,2022,7610
600,Essex,2017,48353
601,Essex,2018,49726
602,Essex,2019,50870
603,Essex,2020,46404
604,Essex,2021,52176
605,Essex,2022,57931
606,Southend-on-Sea,2017,3572
607,Southend-on-Sea,2018,3675
608,Southend-on-Sea,2019,3602
609,Southend-on-Sea,2020,3176
610,Southend-on-Sea,2021,3576
611,Southend-on-Sea,2022,3893
612,Thurrock,2017,4609
613,Thurrock,2018,4825
614,Thurrock,2019,4955
615,Thurrock,2020,4631
616,Thurrock,2021,5298
617,Thurrock,2022,6262
618,Essex Haven Gateway,2017,11562
619,Essex Haven Gateway,2018,11714
620,Essex Haven Gateway,2019,11849
621,Essex Haven Gateway,2020,10715
622,Essex Haven Gateway,2021,12143
623,Essex Haven Gateway,2022,13268
624,West Essex,2017,9627
625,West Essex,2018,9883
626,West Essex,2019,9919
627,West Essex,2020,8755
628,West Essex,2021,9832
629,West Essex,2022,10807
630,Heart of Essex,2017,10227
631,Heart of Essex,2018,10587
632,Heart of Essex,2019,11004
633,Heart of Essex,2020,9994
634,Heart of Essex,2021,11204
635,Heart of Essex,2022,12295
636,Essex Thames Gateway,2017,8755
637,Essex Thames Gateway,2018,9041
638,Essex Thames Gateway,2019,9540
639,Essex Thames Gateway,2020,9133
640,Essex Thames Gateway,2021,10122
641,Essex Thames Gateway,2022,11405
642,London,2017,477262
643,London,2018,494959
644,London,2019,511331
645,London,2020,470080
646,London,2021,508056
647,London,2022,562179
648,Inner London - West,2017,205980
649,Inner London - West,2018,216158
650,Inner London - West,2019,224731
651,Inner London - West,2020,213864
652,Inner London - West,2021,237394
653,Inner London - West,2022,262342
654,Camden and City of London,2017,105451
655,Camden and City of London,2018,110371
656,Camden and City of London,2019,115122
657,Camden and City of London,2020,113068
658,Camden and City of London,2021,127048
659,Camden and City of London,2022,137243
660,Westminster,2017,70682
661,Westminster,2018,74212
662,Westminster,2019,77619
663,Westminster,2020,71678
664,Westminster,2021,79807
665,Westminster,2022,92008
666,Kensington & Chelsea and Hammersmith & Fulham,2017,21274
667,Kensington & Chelsea and Hammersmith & Fulham,2018,22811
668,Kensington & Chelsea and Hammersmith & Fulham,2019,23158
669,Kensington & Chelsea and Hammersmith & Fulham,2020,21155
670,Kensington & Chelsea and Hammersmith & Fulham,2021,22038
671,Kensington & Chelsea and Hammersmith & Fulham,2022,23776
672,Wandsworth,2017,8572
673,Wandsworth,2018,8765
674,Wandsworth,2019,8832
675,Wandsworth,2020,7963
676,Wandsworth,2021,8501
677,Wandsworth,2022,9313
678,Inner London - East,2017,115455
679,Inner London - East,2018,118903
680,Inner London - East,2019,121871
681,Inner London - East,2020,113084
682,Inner London - East,2021,120538
683,Inner London - East,2022,135044
684,Hackney and Newham,2017,15114
685,Hackney and Newham,2018,16209
686,Hackney and Newham,2019,17956
687,Hackney and Newham,2020,17302
688,Hackney and Newham,2021,19253
689,Hackney and Newham,2022,21180
690,Tower Hamlets,2017,38552
691,Tower Hamlets,2018,37658
692,Tower Hamlets,2019,37178
693,Tower Hamlets,2020,35832
694,Tower Hamlets,2021,36623
695,Tower Hamlets,2022,38024
696,Haringey and Islington,2017,24363
697,Haringey and Islington,2018,25532
698,Haringey and Islington,2019,25990
699,Haringey and Islington,2020,23531
700,Haringey and Islington,2021,25611
701,Haringey and Islington,2022,31952
702,Lewisham and Southwark,2017,24027
703,Lewisham and Southwark,2018,25736
704,Lewisham and Southwark,2019,27061
705,Lewisham and Southwark,2020,24544
706,Lewisham and Southwark,2021,25817
707,Lewisham and Southwark,2022,27848
708,Lambeth,2017,13399
709,Lambeth,2018,13768
710,Lambeth,2019,13685
711,Lambeth,2020,11875
712,Lambeth,2021,13233
713,Lambeth,2022,16040
714,Outer London - East and North East,2017,42551
715,Outer London - East and North East,2018,43935
716,Outer London - East and North East,2019,45522
717,Outer London - East and North East,2020,40001
718,Outer London - East and North East,2021,43557
719,Outer London - East and North East,2022,47950
720,Bexley and Greenwich,2017,13181
721,Bexley and Greenwich,2018,13426
722,Bexley and Greenwich,2019,14095
723,Bexley and Greenwich,2020,12276
724,Bexley and Greenwich,2021,12981
725,Bexley and Greenwich,2022,14172
726,Barking & Dagenham and Havering,2017,10370
727,Barking & Dagenham and Havering,2018,10705
728,Barking & Dagenham and Havering,2019,11042
729,Barking & Dagenham and Havering,2020,9777
730,Barking & Dagenham and Havering,2021,10967
731,Barking & Dagenham and Havering,2022,12365
732,Redbridge and Waltham Forest,2017,10740
733,Redbridge and Waltham Forest,2018,10979
734,Redbridge and Waltham Forest,2019,11185
735,Redbridge and Waltham Forest,2020,9735
736,Redbridge and Waltham Forest,2021,10786
737,Redbridge and Waltham Forest,2022,12071
738,Enfield,2017,8261
739,Enfield,2018,8825
740,Enfield,2019,9200
741,Enfield,2020,8213
742,Enfield,2021,8824
743,Enfield,2022,9342
744,Outer London - South,2017,36305
745,Outer London - South,2018,37517
746,Outer London - South,2019,38633
747,Outer London - South,2020,35019
748,Outer London - South,2021,36553
749,Outer London - South,2022,39563
750,Bromley,2017,9137
751,Bromley,2018,9329
752,Bromley,2019,9226
753,Bromley,2020,8318
754,Bromley,2021,8484
755,Bromley,2022,9099
756,Croydon,2017,10249
757,Croydon,2018,11015
758,Croydon,2019,11691
759,Croydon,2020,10842
760,Croydon,2021,11540
761,Croydon,2022,12592
762,"Merton, Kingston upon Thames and Sutton",2017,16918
763,"Merton, Kingston upon Thames and Sutton",2018,17173
764,"Merton, Kingston upon Thames and Sutton",2019,17716
765,"Merton, Kingston upon Thames and Sutton",2020,15859
766,"Merton, Kingston upon Thames and Sutton",2021,16528
