,Region,Year,Gross domestic product (GDP) per head at current market prices
514,Walsall,2021,19400
515,Walsall,2022,20665
516,Wolverhampton,2017,21021
517,Wolverhampton,2018,22029
518,Wolverhampton,2019,22549
519,Wolverhampton,2020,21041
520,Wolverhampton,2021,23413
521,Wolverhampton,2022,25595
522,East,2017,28987
523,East,2018,29417
524,East,2019,30455
525,East,2020,28407
526,East,2021,30804
527,East,2022,33419
528,East Anglia,2017,27800
529,East Anglia,2018,28050
530,East Anglia,2019,29499
531,East Anglia,2020,28267
532,East Anglia,2021,30043
533,East Anglia,2022,32162
534,Peterborough,2017,33551
535,Peterborough,2018,35428
536,Peterborough,2019,33704
537,Peterborough,2020,32672
538,Peterborough,2021,35084
539,Peterborough,2022,36764
540,Cambridgeshire CC,2017,32258
541,Cambridgeshire CC,2018,32560
542,Cambridgeshire CC,2019,34489
543,Cambridgeshire CC,2020,34178
544,Cambridgeshire CC,2021,35863
545,Cambridgeshire CC,2022,38392
546,Suffolk CC,2017,27275
547,Suffolk CC,2018,27669
548,Suffolk CC,2019,29093
549,Suffolk CC,2020,27274
550,Suffolk CC,2021,28873
551,Suffolk CC,2022,30709
552,Norwich and East Norfolk,2017,27488
553,Norwich and East Norfolk,2018,26654
554,Norwich and East Norfolk,2019,29802
555,Norwich and East Norfolk,2020,27352
556,Norwich and East Norfolk,2021,29830
557,Norwich and East Norfolk,2022,32821
558,North and West Norfolk,2017,20578
559,North and West Norfolk,2018,20789
560,North and West Norfolk,2019,21470
561,North and West Norfolk,2020,20468
562,North and West Norfolk,2021,21715
563,North and West Norfolk,2022,23418
564,Breckland and South Norfolk,2017,21248
565,Breckland and South Norfolk,2018,21163
566,Breckland and South Norfolk,2019,22350
567,Breckland and South Norfolk,2020,21749
568,Breckland and South Norfolk,2021,23267
569,Breckland and South Norfolk,2022,24658
570,Bedfordshire and Hertfordshire,2017,32997
571,Bedfordshire and Hertfordshire,2018,33523
572,Bedfordshire and Hertfordshire,2019,34597
573,Bedfordshire and Hertfordshire,2020,31881
574,Bedfordshire and Hertfordshire,2021,34570
575,Bedfordshire and Hertfordshire,2022,37622
576,Luton,2017,30207
577,Luton,2018,30523
578,Luton,2019,31549
579,Luton,2020,26444
580,Luton,2021,27992
581,Luton,2022,33624
582,Hertfordshire CC,2017,36357
583,Hertfordshire CC,2018,37129
584,Hertfordshire CC,2019,38567
585,Hertfordshire CC,2020,36362
586,Hertfordshire CC,2021,39573
587,Hertfordshire CC,2022,42754
588,Bedford,2017,26216
589,Bedford,2018,26183
590,Bedford,2019,27500
591,Bedford,2020,24735
592,Bedford,2021,27359
593,Bedford,2022,29394
594,Central Bedfordshire,2017,25162
595,Central Bedfordshire,2018,25278
596,Central Bedfordshire,2019,24848
597,Central Bedfordshire,2020,22036
598,Central Bedfordshire,2021,23786
599,Central Bedfordshire,2022,25241
600,Essex,2017,26538
601,Essex,2018,27122
602,Essex,2019,27551
603,Essex,2020,25048
604,Essex,2021,28002
605,Essex,2022,30859
606,Southend-on-Sea,2017,19692
607,Southend-on-Sea,2018,20208
608,Southend-on-Sea,2019,19778
609,Southend-on-Sea,2020,17519
610,Southend-on-Sea,2021,19796
611,Southend-on-Sea,2022,21520
612,Thurrock,2017,26961
613,Thurrock,2018,27872
614,Thurrock,2019,28324
615,Thurrock,2020,26343
616,Thurrock,2021,30113
617,Thurrock,2022,35404
618,Essex Haven Gateway,2017,23892
619,Essex Haven Gateway,2018,24074
620,Essex Haven Gateway,2019,24202
621,Essex Haven Gateway,2020,21763
622,Essex Haven Gateway,2021,24419
623,Essex Haven Gateway,2022,26351
624,West Essex,2017,31185
625,West Essex,2018,31697
626,West Essex,2019,31438
627,West Essex,2020,27578
628,West Essex,2021,30698
629,West Essex,2022,33566
630,Heart of Essex,2017,32180
631,Heart of Essex,2018,33201
632,Heart of Essex,2019,34218
633,Heart of Essex,2020,30949
634,Heart of Essex,2021,34417
635,Heart of Essex,2022,37460
636,Essex Thames Gateway,2017,24371
637,Essex Thames Gateway,2018,25035
638,Essex Thames Gateway,2019,26309
639,Essex Thames Gateway,2020,25174
640,Essex Thames Gateway,2021,27838
641,Essex Thames Gateway,2022,31178
642,London,2017,54381
643,London,2018,56033
644,London,2019,57519
645,London,2020,53015
