Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover,Total Exp.,UK Exp/Head,Real terms Exp.,UK Real terms Exp/Head,General. Public. Exp.,General. Public. Exp.(common services),General. Public. Exp.(international services),Defence Exp.,Safety Exp.,Economic Total. Exp.,Economic. Exp.(Enterprise),Economic. Exp.(Sci. & Tech),Economic. Exp.(Employment),"Economic. Exp.(Agri., Fish., For.)",Economic. Exp.(Transport),Environment. Exp.,Housing & Community Exp.,Health Exp.,Culture & Religion Exp.,Education Exp.,Social Protection Exp.,Local Govt. Exp.,Local Govt. Exp/Head,Total Exp. (excl. Local Govt.),GVA (Balanced),VAT on Products,Other Taxes,Subsidies,GDP (Current),Population,GDP per Head,GVA Deflators,"GDP CVM Index, 2019 equals 100",GDP CVM (in 2019 money value),GDP CVM (Per Head in 2019 money value),GDP CVM Growth,GDP CVM Per Head Growth
2013,north east,Q,   250-499,4,10,94,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,R,1,0,105,13,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,R,   2-4,6.918963893,265,45,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,R,   5-9,6.75578793,110,45,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,R,   10-19,6.678682548,75,36,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,R,   50-99,1,20,48,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,1,7.201104139,550,41,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   2-4,4,1240,152,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   5-9,3,405,86,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   10-19,1,105,66,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
