,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
559,North and West Norfolk,2018,21146
560,North and West Norfolk,2019,21470
561,North and West Norfolk,2020,19097
562,North and West Norfolk,2021,20489
563,North and West Norfolk,2022,20933
564,Breckland and South Norfolk,2017,22446
565,Breckland and South Norfolk,2018,21686
566,Breckland and South Norfolk,2019,22350
567,Breckland and South Norfolk,2020,19687
568,Breckland and South Norfolk,2021,21690
569,Breckland and South Norfolk,2022,22002
570,Bedfordshire and Hertfordshire,2017,34321
571,Bedfordshire and Hertfordshire,2018,34207
572,Bedfordshire and Hertfordshire,2019,34597
573,Bedfordshire and Hertfordshire,2020,30059
574,Bedfordshire and Hertfordshire,2021,32803
575,Bedfordshire and Hertfordshire,2022,33965
576,Luton,2017,31246
577,Luton,2018,31323
578,Luton,2019,31549
579,Luton,2020,20261
580,Luton,2021,23938
581,Luton,2022,28410
582,Hertfordshire CC,2017,37798
583,Hertfordshire CC,2018,37840
584,Hertfordshire CC,2019,38567
585,Hertfordshire CC,2020,35173
586,Hertfordshire CC,2021,38180
587,Hertfordshire CC,2022,38998
588,Bedford,2017,27444
589,Bedford,2018,26888
590,Bedford,2019,27500
591,Bedford,2020,23002
592,Bedford,2021,25822
593,Bedford,2022,26493
594,Central Bedfordshire,2017,26294
595,Central Bedfordshire,2018,25748
596,Central Bedfordshire,2019,24848
597,Central Bedfordshire,2020,21210
598,Central Bedfordshire,2021,22671
599,Central Bedfordshire,2022,22603
600,Essex,2017,27916
601,Essex,2018,27807
602,Essex,2019,27551
603,Essex,2020,23627
604,Essex,2021,26718
605,Essex,2022,27912
606,Southend-on-Sea,2017,20667
607,Southend-on-Sea,2018,20681
608,Southend-on-Sea,2019,19778
609,Southend-on-Sea,2020,15885
610,Southend-on-Sea,2021,18469
611,Southend-on-Sea,2022,19341
612,Thurrock,2017,28667
613,Thurrock,2018,28702
614,Thurrock,2019,28324
615,Thurrock,2020,24616
616,Thurrock,2021,28569
617,Thurrock,2022,31917
618,Essex Haven Gateway,2017,25010
619,Essex Haven Gateway,2018,24763
620,Essex Haven Gateway,2019,24202
621,Essex Haven Gateway,2020,20571
622,Essex Haven Gateway,2021,23167
623,Essex Haven Gateway,2022,23772
624,West Essex,2017,32786
625,West Essex,2018,32400
626,West Essex,2019,31438
627,West Essex,2020,25621
628,West Essex,2021,28792
629,West Essex,2022,29972
630,Heart of Essex,2017,33836
631,Heart of Essex,2018,33987
632,Heart of Essex,2019,34218
633,Heart of Essex,2020,29635
634,Heart of Essex,2021,33156
635,Heart of Essex,2022,34371
636,Essex Thames Gateway,2017,25681
637,Essex Thames Gateway,2018,25652
638,Essex Thames Gateway,2019,26309
639,Essex Thames Gateway,2020,23885
640,Essex Thames Gateway,2021,26593
641,Essex Thames Gateway,2022,28319
642,London,2017,56415
643,London,2018,57081
644,London,2019,57519
645,London,2020,50162
646,London,2021,55033
647,London,2022,57338
648,Inner London - West,2017,193468
649,Inner London - West,2018,199547
650,Inner London - West,2019,203516
651,Inner London - West,2020,186530
652,Inner London - West,2021,209315
653,Inner London - West,2022,214627
654,Camden and City of London,2017,479312
655,Camden and City of London,2018,497851
656,Camden and City of London,2019,509612
657,Camden and City of London,2020,489063
658,Camden and City of London,2021,547493
659,Camden and City of London,2022,534907
660,Westminster,2017,349759
661,Westminster,2018,360667
662,Westminster,2019,372425
663,Westminster,2020,332134
664,Westminster,2021,371979
665,Westminster,2022,396096
666,Kensington & Chelsea and Hammersmith & Fulham,2017,65493
667,Kensington & Chelsea and Hammersmith & Fulham,2018,68756
668,Kensington & Chelsea and Hammersmith & Fulham,2019,69052
669,Kensington & Chelsea and Hammersmith & Fulham,2020,59056
670,Kensington & Chelsea and Hammersmith & Fulham,2021,64983
671,Kensington & Chelsea and Hammersmith & Fulham,2022,66489
672,Wandsworth,2017,27235
673,Wandsworth,2018,27002
674,Wandsworth,2019,26400
675,Wandsworth,2020,21143
676,Wandsworth,2021,24013
677,Wandsworth,2022,25744
678,Inner London - East,2017,51435
679,Inner London - East,2018,51436
680,Inner London - East,2019,51544
681,Inner London - East,2020,45273
682,Inner London - East,2021,49402
683,Inner London - East,2022,51716
684,Hackney and Newham,2017,25973
685,Hackney and Newham,2018,26973
686,Hackney and Newham,2019,29168
687,Hackney and Newham,2020,26790
688,Hackney and Newham,2021,30445
689,Hackney and Newham,2022,31328
690,Tower Hamlets,2017,137119
691,Tower Hamlets,2018,127962
692,Tower Hamlets,2019,121869
693,Tower Hamlets,2020,108447
694,Tower Hamlets,2021,108195
695,Tower Hamlets,2022,102323
696,Haringey and Islington,2017,49737
697,Haringey and Islington,2018,51846
698,Haringey and Islington,2019,52430
699,Haringey and Islington,2020,46287
700,Haringey and Islington,2021,52013
701,Haringey and Islington,2022,60648
702,Lewisham and Southwark,2017,40832
703,Lewisham and Southwark,2018,42572
704,Lewisham and Southwark,2019,43753
705,Lewisham and Southwark,2020,37788
706,Lewisham and Southwark,2021,40717
707,Lewisham and Southwark,2022,41638
708,Lambeth,2017,43656
709,Lambeth,2018,43133
710,Lambeth,2019,41532
711,Lambeth,2020,32660
712,Lambeth,2021,39222
713,Lambeth,2022,46058
714,Outer London - East and North East,2017,23212
715,Outer London - East and North East,2018,23246
716,Outer London - East and North East,2019,23430
717,Outer London - East and North East,2020,19555
718,Outer London - East and North East,2021,21678
719,Outer London - East and North East,2022,22812
720,Bexley and Greenwich,2017,25996
721,Bexley and Greenwich,2018,25758
722,Bexley and Greenwich,2019,26354
723,Bexley and Greenwich,2020,21944
724,Bexley and Greenwich,2021,23369
725,Bexley and Greenwich,2022,24355
726,Barking & Dagenham and Havering,2017,23135
727,Barking & Dagenham and Havering,2018,23084
728,Barking & Dagenham and Havering,2019,22998
729,Barking & Dagenham and Havering,2020,19211
730,Barking & Dagenham and Havering,2021,21968
731,Barking & Dagenham and Havering,2022,23463
732,Redbridge and Waltham Forest,2017,19032
733,Redbridge and Waltham Forest,2018,18933
734,Redbridge and Waltham Forest,2019,18868
735,Redbridge and Waltham Forest,2020,15421
736,Redbridge and Waltham Forest,2021,17541
737,Redbridge and Waltham Forest,2022,18936
738,Enfield,2017,26019
739,Enfield,2018,27065
740,Enfield,2019,27452
741,Enfield,2020,23612
742,Enfield,2021,25772
743,Enfield,2022,26319
744,Outer London - South,2017,29015
745,Outer London - South,2018,29199
746,Outer London - South,2019,29326
747,Outer London - South,2020,24980
748,Outer London - South,2021,26361
749,Outer London - South,2022,27470
750,Bromley,2017,29046
