,Region,Year,Total resident population numbers
463,Stoke-on-Trent,2018,258843
464,Stoke-on-Trent,2019,259181
465,Stoke-on-Trent,2020,258866
466,Stoke-on-Trent,2021,258102
467,Stoke-on-Trent,2022,259965
468,Staffordshire CC,2017,863528
469,Staffordshire CC,2018,866810
470,Staffordshire CC,2019,870117
471,Staffordshire CC,2020,872087
472,Staffordshire CC,2021,877808
473,Staffordshire CC,2022,886284
474,West Midlands,2017,2889499
475,West Midlands,2018,2907123
476,West Midlands,2019,2921091
477,West Midlands,2020,2921476
478,West Midlands,2021,2918251
479,West Midlands,2022,2953816
480,Birmingham,2017,1139893
481,Birmingham,2018,1146050
482,Birmingham,2019,1150646
483,Birmingham,2020,1148692
484,Birmingham,2021,1143285
485,Birmingham,2022,1157603
486,Solihull,2017,214330
487,Solihull,2018,214901
488,Solihull,2019,216323
489,Solihull,2020,216432
490,Solihull,2021,216677
491,Solihull,2022,217678
492,Coventry,2017,340034
493,Coventry,2018,342811
494,Coventry,2019,343715
495,Coventry,2020,344702
496,Coventry,2021,344151
497,Coventry,2022,355600
498,Dudley,2017,319539
499,Dudley,2018,320989
500,Dudley,2019,322090
501,Dudley,2020,322513
502,Dudley,2021,323591
503,Dudley,2022,324969
504,Sandwell,2017,333826
505,Sandwell,2018,336977
506,Sandwell,2019,340198
507,Sandwell,2020,341436
508,Sandwell,2021,341895
509,Sandwell,2022,344210
510,Walsall,2017,281229
511,Walsall,2018,282921
512,Walsall,2019,284600
513,Walsall,2020,284578
514,Walsall,2021,284392
515,Walsall,2022,286105
516,Wolverhampton,2017,260648
517,Wolverhampton,2018,262474
518,Wolverhampton,2019,263519
519,Wolverhampton,2020,263123
520,Wolverhampton,2021,264260
521,Wolverhampton,2022,267651
522,East,2017,6202843
523,East,2018,6237376
524,East,2019,6274179
525,East,2020,6297779
526,East,2021,6349646
527,East,2022,6398497
528,East Anglia,2017,2521840
529,East Anglia,2018,2535585
530,East Anglia,2019,2545960
531,East Anglia,2020,2551550
532,East Anglia,2021,2579028
533,East Anglia,2022,2600668
534,Peterborough,2017,208237
535,Peterborough,2018,211037
536,Peterborough,2019,213026
537,Peterborough,2020,213718
538,Peterborough,2021,216470
539,Peterborough,2022,217705
540,Cambridgeshire CC,2017,661465
541,Cambridgeshire CC,2018,665676
542,Cambridgeshire CC,2019,668649
543,Cambridgeshire CC,2020,671281
544,Cambridgeshire CC,2021,680747
545,Cambridgeshire CC,2022,689109
546,Suffolk CC,2017,753590
547,Suffolk CC,2018,755345
548,Suffolk CC,2019,757321
549,Suffolk CC,2020,756668
550,Suffolk CC,2021,763349
551,Suffolk CC,2022,768555
552,Norwich and East Norfolk,2017,369999
553,Norwich and East Norfolk,2018,372847
554,Norwich and East Norfolk,2019,373469
555,Norwich and East Norfolk,2020,374546
556,Norwich and East Norfolk,2021,375634
557,Norwich and East Norfolk,2022,378259
558,North and West Norfolk,2017,256384
559,North and West Norfolk,2018,255974
560,North and West Norfolk,2019,255841
561,North and West Norfolk,2020,255087
562,North and West Norfolk,2021,258159
563,North and West Norfolk,2022,258968
564,Breckland and South Norfolk,2017,272165
565,Breckland and South Norfolk,2018,274706
566,Breckland and South Norfolk,2019,277654
567,Breckland and South Norfolk,2020,280250
568,Breckland and South Norfolk,2021,284669
569,Breckland and South Norfolk,2022,288072
570,Bedfordshire and Hertfordshire,2017,1858958
571,Bedfordshire and Hertfordshire,2018,1868416
572,Bedfordshire and Hertfordshire,2019,1881839
573,Bedfordshire and Hertfordshire,2020,1893635
574,Bedfordshire and Hertfordshire,2021,1907304
575,Bedfordshire and Hertfordshire,2022,1920528
576,Luton,2017,220752
577,Luton,2018,221532
578,Luton,2019,223106
579,Luton,2020,224132
580,Luton,2021,224958
581,Luton,2022,226973
582,Hertfordshire CC,2017,1185014
583,Hertfordshire CC,2018,1188182
584,Hertfordshire CC,2019,1193394
585,Hertfordshire CC,2020,1198052
586,Hertfordshire CC,2021,1200899
587,Hertfordshire CC,2022,1204588
588,Bedford,2017,175537
589,Bedford,2018,178288
590,Bedford,2019,180651
591,Bedford,2020,182346
592,Bedford,2021,185796
593,Bedford,2022,187466
594,Central Bedfordshire,2017,277655
595,Central Bedfordshire,2018,280414
596,Central Bedfordshire,2019,284688
597,Central Bedfordshire,2020,289105
598,Central Bedfordshire,2021,295651
599,Central Bedfordshire,2022,301501
600,Essex,2017,1822045
601,Essex,2018,1833375
602,Essex,2019,1846380
603,Essex,2020,1852594
604,Essex,2021,1863314
605,Essex,2022,1877301
606,Southend-on-Sea,2017,181405
607,Southend-on-Sea,2018,181877
608,Southend-on-Sea,2019,182115
609,Southend-on-Sea,2020,181276
610,Southend-on-Sea,2021,180655
611,Southend-on-Sea,2022,180915
612,Thurrock,2017,170966
613,Thurrock,2018,173113
614,Thurrock,2019,174924
615,Thurrock,2020,175803
616,Thurrock,2021,175933
617,Thurrock,2022,176877
618,Essex Haven Gateway,2017,483922
619,Essex Haven Gateway,2018,486582
620,Essex Haven Gateway,2019,489605
621,Essex Haven Gateway,2020,492341
622,Essex Haven Gateway,2021,497276
623,Essex Haven Gateway,2022,503526
624,West Essex,2017,308711
625,West Essex,2018,311779
626,West Essex,2019,315519
627,West Essex,2020,317466
628,West Essex,2021,320290
629,West Essex,2022,321976
630,Heart of Essex,2017,317795
631,Heart of Essex,2018,318886
632,Heart of Essex,2019,321594
633,Heart of Essex,2020,322917
634,Heart of Essex,2021,325549
635,Heart of Essex,2022,328212
636,Essex Thames Gateway,2017,359246
637,Essex Thames Gateway,2018,361138
638,Essex Thames Gateway,2019,362623
639,Essex Thames Gateway,2020,362791
640,Essex Thames Gateway,2021,363611
641,Essex Thames Gateway,2022,365795
642,London,2017,8776229
643,London,2018,8833335
644,London,2019,8889743
645,London,2020,8867008
646,London,2021,8804769
647,London,2022,8866180
648,Inner London - West,2017,1104033
649,Inner London - West,2018,1104525
650,Inner London - West,2019,1104241
651,Inner London - West,2020,1093830
652,Inner London - West,2021,1081421
653,Inner London - West,2022,1100688
654,Camden and City of London,2017,226710
655,Camden and City of London,2018,226080
656,Camden and City of London,2019,225901
657,Camden and City of London,2020,223099
658,Camden and City of London,2021,219657
659,Camden and City of London,2022,228896
660,Westminster,2017,210459
661,Westminster,2018,209868
662,Westminster,2019,208415
663,Westminster,2020,205624
